작물이름,생육적온 최저,생육적온 최대,저온장해,고온장해
밀,15,22,2,32
벼,25,35,10,42
옥수수,24,30,10,40
대두,20,30,10,40
감자,15,20,4,32
토마토,20,30,10,40
목화,24,37,10,42
보리,15,22,2,32
해바라기,18,25,8,35
사탕수수,25,35,10,42
귀리,15,20,2,32
땅콩,25,30,10,40
당근,15,20,4,32
포도,15,30,-2,42
양배추,15,25,4,35
커피,24,28,12,40
오렌지,20,30,2,40
상추,15,20,4,32
면,24,30,10,42
브로콜리,18,23,4,35
아보카도,24,30,2,42
고추,21,29,10,40
시금치,10,20,0,25
가지,20,30,10,40
고구마,21,30,12,42
양파,15,26,0,32
무,15,24,4,35
상추,15,20,10,30
오이,20,25,10,35
케일,15,20,-10,35
